fiche_excel,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35
Ensemble,"BASE DE DONNEES DE LA CARTOGRAPHIE DE LA PAUVRETE MULITIDIMENSIONNELLE, HCP, RGPH 2024 & 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble,"UNITE DE MESURE : COMMUNES RURALES, ARRONDISSEMENTS, MUNICIPALITES ET CENTRES URBAINS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble,Collectivités territoriales,Code géographique,Niveau d'agrégation géographique,Année,Pauvreté multidimensionnelle,,,,Pourcentage de la population en situation de privation ,,,,,,,,,,Contribution en pourcentage des privations de chaque indicateur au MPI,,,,,,,,,,Décomposition du MPI par source de privation,,,"Décomposition de la dynamique du MPI, entre 2014 et 2024, par source de privation",,,
Ensemble,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,"Indice de pauvreté multidimensionnelle
(MPI = H*A)","Taux de pauvreté: Proportion de la population en situation de pauvreté multidimensionnelle
(H)","Intensité de la pauvreté 
(A) ",Taux de vulnérabilité à la pauvreté ,Santé,,Education,,Conditions de vie,,,,,,Santé,,Education,,Conditions de vie,,,,,,,,,,,,
Ensemble,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,,,,,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Santé ,Education,Conditions de vie,Variation du MPI **,Santé ,Education,Conditions de vie
Ensemble,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,(Valeur entre 0 et 1),% Population,% moyen de privations,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,--- : Diminution et +++ : Augmentation Stag : Stagnation          nc : Nouveaux centres ,% Contribution,% Contribution,% Contribution
Ensemble,Région de Guelmim-Oued Noun,10,région,2024,0.0177606213837862,4.942125491915965,35.93721373367459,5.287201259187313,0.05294945870019882,16.730683633813506,2.757226418146001,14.290822660320398,1.9741090074070686,7.3474376875036445,5.1272829346042945,4.997475883040652,4.657323013939988,1.0086464747607813,0.17360620200634003,36.32470703125,11.728704452514648,35.40003204345703,1.6145179271697998,4.05868673324585,2.991386890411377,3.5265703201293945,3.2761173248291016,0.905670166015625,36.498313903808594,47.12873840332031,16.372949600219727,---,22.923132068268046,45.60362182568667,31.473244504442565
Ensemble,Région de Guelmim-Oued Noun,10,région,2014,0.03891174495220184,10.311733213376655,37.735406966038106,9.72884684028579,0.36261517483103006,22.397699526681613,5.835860543985887,19.78653226495619,4.777207596861108,15.66434824102798,8.837146471299423,10.742625263648323,5.764447274985595,4.191667365369249,0.574982762336731,28.5443172454834,14.896370887756348,31.403364181518555,2.7141904830932617,6.247127056121826,4.484258651733398,5.395678997039795,3.4188101291656494,2.320899486541748,29.119298934936523,46.29973602294922,24.580965042114258,,,,
Ensemble,* Les indicateurs de pauvreté de ces communes en 2014 sont alignés sur ceux de la commune de Dakhla en raison de la mobilité saisonnière d'une grande partie de la population de ces communes lors du recensement de 2014.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble,** nc : il désigne les nouveaux centres urbains créés en 2024 ; ces centres ne sont pas concernés par la décomposition de la dynamique de l'IPM entre 2014 et 2024.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble,"     Stag (stagnation) : il indique une quasi-stagnation des indices de la pauvreté multidimensionnelle entre 2014 et 2024. Dans ce cas de figure, la décomposition de la dynamique de la pauvreté n'est pas significative.",10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
