Indicateur;Région;Année;Valeur;Unité
PIB par habitant;Guelmim-Oued Noun;2014;28007.638154;DH
PIB par habitant;Guelmim-Oued Noun;2015;30933.263124;DH
PIB par habitant;Guelmim-Oued Noun;2016;33435.076755;DH
PIB par habitant;Guelmim-Oued Noun;2017;35605.227848;DH
PIB par habitant;Guelmim-Oued Noun;2018;37215.951986;DH
PIB par habitant;Guelmim-Oued Noun;2019;39640.985866;DH
PIB par habitant;Guelmim-Oued Noun;2020;40593.206899;DH
PIB par habitant;Guelmim-Oued Noun;2021;43337.172359;DH
PIB par habitant;Guelmim-Oued Noun;2022;44923.761755;DH
PIB par habitant;Guelmim-Oued Noun;2023;47120.728861;DH
