Indicateur;Région;Année;Valeur;Unité
PIB régional;Guelmim-Oued Noun;2014;12138.81846;millions de DH
PIB régional;Guelmim-Oued Noun;2015;13468.435564;millions de DH
PIB régional;Guelmim-Oued Noun;2016;14620.757844;millions de DH
PIB régional;Guelmim-Oued Noun;2017;15633.04497;millions de DH
PIB régional;Guelmim-Oued Noun;2018;16402.44703;millions de DH
PIB régional;Guelmim-Oued Noun;2019;17533.24769;millions de DH
PIB régional;Guelmim-Oued Noun;2020;18013.6009;millions de DH
PIB régional;Guelmim-Oued Noun;2021;19289.765452;millions de DH
PIB régional;Guelmim-Oued Noun;2022;20051.855831;millions de DH
PIB régional;Guelmim-Oued Noun;2023;21086.054958;millions de DH
