Indicateur;Secteur;Année;Valeur;Unité
Valeur ajoutée par branche d'activité;Agriculture;2014;277.112611;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2015;554.982737;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2016;443.931066;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2017;543.607845;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2018;510.865169;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2019;690.869297;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2020;1076.077385;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2021;643;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2022;549.598018;millions de DH
Valeur ajoutée par branche d'activité;Agriculture;2023;835.229337;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2014;607.025773;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2015;546.293641;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2016;715.935784;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2017;689.180158;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2018;818.66035;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2019;679.107935;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2020;491.383787;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2021;787;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2022;707.487914;millions de DH
Valeur ajoutée par branche d'activité;Pêche;2023;710.845703;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2014;395.652052;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2015;487.544285;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2016;437.915919;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2017;368.644835;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2018;460.17277;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2019;494.873802;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2020;452.818352;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2021;514;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2022;669.680261;millions de DH
Valeur ajoutée par branche d'activité;Industrie de transformation;2023;724.911375;millions de DH
