fiche_excel,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35
Urbain,"BASE DE DONNEES DE LA CARTOGRAPHIE DE LA PAUVRETE MULITIDIMENSIONNELLE, HCP, RGPH 2024 & 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbain,"UNITE DE MESURE : ARRONDISSEMENTS, MUNICIPALITES ET CENTRES URBAINS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbain,Collectivités territoriales,Code géographique,Niveau d'agrégation géographique,Année,Pauvreté multidimensionnelle,,,,Pourcentage de la population en situation de privation ,,,,,,,,,,Contribution en pourcentage des privations de chaque indicateur au MPI,,,,,,,,,,Décomposition du MPI par source de privation,,,"Décomposition de la dynamique du MPI, entre 2014 et 2024, par source de privation",,,
Urbain,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,"Indice de pauvreté multidimensionnelle
(MPI = H*A)","Taux de pauvreté: Proportion de la population en situation de pauvreté multidimensionnelle
(H)","Intensité de la pauvreté 
(A) ",Taux de vulnérabilité à la pauvreté ,Santé,,Education,,Conditions de vie,,,,,,Santé,,Education,,Conditions de vie,,,,,,,,,,,,
Urbain,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,,,,,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Santé ,Education,Conditions de vie,Variation du MPI **,Santé ,Education,Conditions de vie
Urbain,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,(Valeur entre 0 et 1),% Population,% moyen de privations,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,--- : Diminution +++ : Augmentation  Stag : Stagnation  nc : Nouveaux centres,% Contribution,% Contribution,% Contribution
Urbain,Région de Guelmim-Oued Noun,10,région,2024,0.00976486410945654,2.786899941382332,35.03844412382431,1.5738914827249975,0.04551495503637278,14.844721735795549,2.5278467934903865,10.297415077137362,0.9397994135371629,0.8741310477277836,2.19439672742423,0.7739747650493428,0.48548837202828427,0.9408802862017328,0.2394913136959076,41.557830810546875,17.619680404663086,35.21428680419922,0.9400192499160767,1.067304015159607,1.0856361389160156,0.7147696614265442,0.5824750661849976,0.9785076379776001,41.79732131958008,52.83396911621094,5.368711948394775,---,37.16015828755107,48.17705465421674,14.662764577614269
Urbain,Région de Guelmim-Oued Noun,10,région,2014,0.014488193206489086,4.020797415150914,36.033133265125024,3.2834231080389595,0.38384877209350465,18.450257105234705,2.7076499742501934,13.353351539926884,2.563429357611528,4.919402950174547,2.0653134644901425,1.8031277560397918,0.3657287344441049,2.655878513119285,1.2544058561325073,39.03114318847656,15.825339317321777,35.490421295166016,1.6924196481704712,2.487220048904419,0.7008800506591797,1.4238168001174927,0.34529179334640503,1.7490594387054443,40.28554916381836,51.315757751464844,8.398687362670898,,,,
Urbain,* Les indicateurs de pauvreté de ces communes en 2014 sont alignés sur ceux de la commune de Dakhla en raison de la mobilité saisonnière d'une grande partie de la population de ces communes lors du recensement de 2014.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbain,** nc : il désigne les nouveaux centres urbains créés en 2024 ; ces centres ne sont pas concernés par la décomposition de la dynamique de l'IPM entre 2014 et 2024.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbain,"     Stag (stagnation) : il indique une quasi-stagnation des indices de la pauvreté multidimensionnelle entre 2014 et 2024. Dans ce cas de figure, la décomposition de la dynamique de la pauvreté n'est pas significative.",10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
