Région,Tableau,Indicateur,Valeur
Guelmim-Oued Noun,Tabeau 1.1: Répartition des établissements par région et secteur d’activité,Industrie,1747
Guelmim-Oued Noun,Tabeau 1.1: Répartition des établissements par région et secteur d’activité,Construction,656
Guelmim-Oued Noun,Tabeau 1.1: Répartition des établissements par région et secteur d’activité,Commerce,8498
Guelmim-Oued Noun,Tabeau 1.1: Répartition des établissements par région et secteur d’activité,Services,3909
Guelmim-Oued Noun,Tabeau 1.1: Répartition des établissements par région et secteur d’activité,Total,14810
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Industrie,4841
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Construction,1060
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Commerce,1130
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Services,45
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total,10900
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total_2,997
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total_3,8236
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total_4,2473
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total_5,25107
Guelmim-Oued Noun,Tabeau 1.3: Répartition de l'effectif d'emploi par région et secteur d’activité,Total_6,4575
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Industrie extractive,15
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Industries Agro-alimentaires,411
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Industries Textiles & du Cuir,559
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Industries Chimiques & Parachimiques,187
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,"Industries Métalliques, Mécaniques, Electriques et Electroniques",440
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Eau et Electricité,135
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Batiments et travaux publics,16
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Travaux de construction spécialisés,640
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Commerce de détail,8307
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Commerce de gros,191
Guelmim-Oued Noun,Tabeau 2.1: Répartition des établissements  par région et sous-secteur d’activité,Transports et entreposage,111
